City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
59,Thompson,55.7435,-97.8558,-3.84,77,20,2.3,CA,2022-01-31 04:47:40,few clouds
60,Nacala,-14.5428,40.6728,77.77,81,8,4.7,MZ,2022-01-31 04:51:42,clear sky
61,Phangnga,8.4509,98.5298,92.82,49,14,5.19,TH,2022-01-31 04:51:43,few clouds
62,Novyy Urengoy,66.0833,76.6333,-4.56,99,99,7.65,RU,2022-01-31 04:51:43,overcast clouds
63,Samarai,-10.6167,150.6667,83.55,72,100,20.98,PG,2022-01-31 04:51:44,overcast clouds
64,Imbituba,-28.24,-48.6703,73.81,81,52,6.6,BR,2022-01-31 04:51:44,broken clouds
65,Torbay,47.6666,-52.7314,35.58,83,100,24.16,CA,2022-01-31 04:51:44,overcast clouds
66,Plettenberg Bay,-34.0527,23.3716,70.7,82,89,1.59,ZA,2022-01-31 04:51:44,overcast clouds
67,Tukrah,32.5341,20.5791,55.49,67,81,17.49,LY,2022-01-31 04:51:45,broken clouds
68,Sasovo,54.3537,41.9199,25.48,96,100,12.06,RU,2022-01-31 04:51:45,light snow
69,Busselton,-33.65,115.3333,78.08,30,97,16.64,AU,2022-01-31 04:44:32,overcast clouds
70,Atar,20.5169,-13.0499,75.43,13,100,8.63,MR,2022-01-31 04:51:46,overcast clouds
71,Matara,5.9485,80.5353,86.04,64,14,4.09,LK,2022-01-31 04:49:27,few clouds
72,High Level,58.5169,-117.136,-3.89,84,100,21.85,CA,2022-01-31 04:51:46,light snow
73,Tikapur,28.5,81.1333,64.96,51,0,4.99,NP,2022-01-31 04:51:46,clear sky
74,Tessalit,20.1986,1.0114,63.1,17,3,7.92,ML,2022-01-31 04:51:47,clear sky
75,Vardo,70.3705,31.1107,21.4,70,58,17.72,NO,2022-01-31 04:51:47,broken clouds
76,Lorengau,-2.0226,147.2712,81.57,82,100,16.33,PG,2022-01-31 04:50:04,overcast clouds
77,Mosetse,-20.75,26.65,66.99,80,100,12.5,BW,2022-01-31 04:51:48,overcast clouds
78,Chokurdakh,70.6333,147.9167,-28.1,99,55,1.36,RU,2022-01-31 04:51:48,broken clouds
